time,phase,along_m,cross_m,elevation_m,agl_m,height_ft,ias,eas,groundspeed_kt,pitch,bank,alpha,vy,gamma,gamma_cmd,h_cmd,yoke,roll,rudder,speedbrake,speedbrake_actual,Q,mass,nz,main_wow,nose_wow,gear_cmd,gear0,gear1,gear2,chute,brakes,derotating,local_vy,radar_height_ft
0.003613,4.000000,-8483.588867,-11.120764,2965.410581,2265.497314,0.000000,0.003862,0.000000,325.841886,-12.000009,-0.000024,7.990911,-62.312748,-20.391779,-16.298019,2255.737793,0.421178,0.048184,-0.000003,0.001807,0.000000,-0.004540,83460.992188,1.709881,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-61.137981,7426.122070
0.053864,1.000000,-8482.984375,-11.119416,2962.279985,2262.366211,7433.013672,2.266612,298.620605,325.858526,-11.953534,0.028773,8.046473,-62.285679,-20.382694,-20.544853,2255.517822,-0.243850,0.003186,-0.000713,0.000000,0.000177,1.226639,83460.992188,0.964000,0.000000,0.000000,0.000000,0.013031,0.032990,0.032679,0.000000,0.000000,0.000000,-61.150536,7425.419922
0.110014,1.000000,-8466.228516,-11.082426,2958.800690,2258.886230,7412.586426,6.879483,298.469879,325.944928,-11.908544,0.061101,7.894598,-61.748020,-20.216126,-20.537828,2249.419189,-0.237540,0.013812,-0.000862,0.028075,0.001492,0.445786,83460.992188,2.071831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-60.534416,7404.992676
0.160734,1.000000,-8457.784180,-11.064111,2955.686356,2255.771240,7402.414551,13.072664,298.385040,326.154481,-11.903811,0.085481,7.730075,-61.225479,-20.046877,-20.536037,2246.345703,-0.249614,0.015161,-0.000818,0.053435,0.005158,-0.213347,83460.992188,2.026151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-60.011200,7401.437500
0.211427,1.000000,-8449.241211,-11.045801,2952.599480,2252.683594,7392.220703,20.769636,298.308807,326.358190,-11.931605,0.108382,7.541363,-60.722843,-19.883816,-20.535828,2243.236328,-0.258313,0.015140,-0.000758,0.078782,0.010919,-0.838046,83460.992188,1.967389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.514587,7391.243164
0.265098,1.000000,-8440.270508,-11.026783,2949.358003,2249.441406,7381.613770,30.214077,298.244476,326.562553,-11.994425,0.131693,7.320005,-60.232075,-19.724173,-20.537218,2239.971191,-0.254658,0.014820,-0.000707,0.105617,0.019022,-1.440245,83460.992188,1.888821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.026688,7380.636230
0.316749,1.000000,-8431.611328,-11.008601,2946.261764,2246.344482,7371.460938,40.169079,298.199707,326.749593,-12.083159,0.153401,7.092998,-59.801407,-19.583555,-20.539982,2236.819580,-0.216290,0.014446,-0.000676,0.131442,0.028681,-1.940299,83460.992188,1.769026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.602909,7370.478516
0.372690,1.000000,-8422.202148,-10.989013,2942.930735,2243.012695,7360.511719,51.642536,298.184631,326.938650,-12.203348,0.176193,6.847260,-59.411076,-19.454960,-20.544369,2233.395020,-0.175752,0.014002,-0.000661,0.159413,0.040937,-2.309382,83460.992188,1.631480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.221615,7359.529297
0.428708,1.000000,-8412.753906,-10.969496,2939.614470,2239.699707,7349.591797,63.590958,298.195618,327.112937,-12.340121,0.198313,6.605303,-59.087021,-19.347208,-20.550018,2229.956055,-0.150745,0.013576,-0.000658,0.187422,0.054882,-2.542321,83460.992188,1.525306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.904984,7348.609375
0.484712,1.000000,-8403.375000,-10.950244,2936.315209,2236.413818,7338.811523,75.771713,298.223328,327.271117,-12.487020,0.219734,6.369122,-58.816639,-19.256586,-20.556614,2226.542480,-0.136251,0.013174,-0.000660,0.215424,0.070318,-2.683484,83460.992188,1.443723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.638275,7337.829102
0.540820,1.000000,-8393.959961,-10.931026,2933.023596,2233.135986,7328.042480,88.029144,298.262543,327.416158,-12.640244,0.240524,6.138929,-58.584969,-19.178413,-20.564121,2223.115723,-0.128488,0.012789,-0.000665,0.243478,0.087121,-2.766102,83460.992188,1.378816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.409843,7327.069824
0.590868,1.000000,-8385.489258,-10.913809,2930.097551,2230.221924,7318.390137,98.888924,298.303802,327.535572,-12.779904,0.258514,5.939211,-58.403816,-19.116958,-20.571484,2220.032471,-0.125169,0.012459,-0.000669,0.268502,0.103124,-2.808532,83460.992188,1.330504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.232525,7317.416992
0.644102,1.000000,-8376.540039,-10.895687,2926.994301,2227.131592,7308.227539,110.262077,298.352539,327.650715,-12.930181,0.277089,5.732607,-58.235950,-19.059767,-20.579851,2216.775391,-0.124023,0.012125,-0.000673,0.295119,0.121095,-2.833084,83460.992188,1.286434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.066883,7307.254883
0.699936,1.000000,-8367.209961,-10.876855,2923.748314,2223.898682,7297.665527,121.916138,298.405121,327.758977,-13.088760,0.295930,5.522241,-58.082989,-19.007475,-20.589123,2213.379395,-0.124455,0.011866,-0.000699,0.323036,0.140878,-2.844828,83460.992188,1.245683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.915104,7296.692871
0.749975,1.000000,-8358.708984,-10.859745,2920.845945,2221.008545,7288.067871,132.061874,298.454926,327.847840,-13.231218,0.312279,5.339094,-57.961151,-18.965683,-20.598001,2210.285400,-0.125686,0.011572,-0.000721,0.348055,0.159343,-2.848181,83460.992188,1.212103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.796242,7287.297363
0.804915,1.000000,-8349.449219,-10.841153,2917.665661,2217.841553,7277.637207,142.826340,298.510193,327.934272,-13.387690,0.329702,5.143689,-57.845814,-18.925998,-20.608082,2206.915039,-0.127593,0.011249,-0.000741,0.375525,0.180337,-2.847213,83460.992188,1.177958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.682846,7276.867188
0.859779,1.000000,-8340.232422,-10.822683,2914.495505,2214.684570,7267.277344,153.149750,298.565582,328.009729,-13.543792,0.346572,4.954319,-57.747711,-18.892141,-20.618484,2203.560303,-0.129857,0.010935,-0.000758,0.399795,0.201972,-2.843313,83460.992188,1.145991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.586246,7266.507324
0.910321,1.000000,-8331.691406,-10.805594,2911.579393,2211.780518,7257.693848,162.262527,298.617218,328.070444,-13.687364,0.361657,4.784783,-57.670753,-18.865502,-20.628414,2200.451660,-0.132124,0.010655,-0.000770,0.401602,0.221125,-2.838312,83460.992188,1.117920,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.511089,7256.923828
0.964021,1.000000,-8322.676758,-10.787574,2908.484842,2208.698730,7247.592285,171.508286,298.671387,328.125465,-13.839618,0.377229,4.609653,-57.603436,-18.842099,-20.639124,2197.170654,-0.134580,0.010368,-0.000780,0.403499,0.239645,-2.832724,83460.992188,1.089293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.445164,7246.939941
1.014708,1.000000,-8314.147461,-10.770535,2905.566828,2205.792969,7238.046387,179.820816,298.723236,328.169303,-13.983068,0.391501,4.448894,-57.552399,-18.824243,-20.649464,2194.066162,-0.136871,0.010105,-0.000788,0.405314,0.255566,-2.827781,83460.992188,1.063087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.395615,7237.394531
1.066534,1.000000,-8305.468750,-10.753202,2902.585505,2202.823975,7228.341797,187.900742,298.776093,328.206112,-14.129498,0.405681,4.288940,-57.512749,-18.810225,-20.660133,2190.907471,-0.139140,0.009844,-0.000794,0.407163,0.270437,-2.823440,83460.992188,1.037038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.357346,7227.689941
1.121703,1.000000,-8296.067383,-10.734427,2899.413671,2199.665527,7217.837402,196.035721,298.833740,328.237552,-14.285159,0.420333,4.123416,-57.483456,-18.799644,-20.671833,2187.485596,-0.141447,0.009571,-0.000798,0.409181,0.284858,-2.819821,83460.992188,1.009779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.330067,7217.185059
1.178248,1.000000,-8286.674805,-10.715664,2896.163881,2196.429443,7207.346680,203.886322,298.891846,328.260480,-14.444528,0.434902,3.958651,-57.468002,-18.793724,-20.683603,2184.066895,-0.143691,0.009303,-0.000801,0.411215,0.298291,-2.817183,83460.992188,0.982799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.316139,7206.918457
1.228779,1.000000,-8278.001953,-10.698330,2893.260079,2193.537842,7197.663086,210.493546,298.946259,328.274539,-14.586844,0.447543,3.815446,-57.465710,-18.792278,-20.694532,2180.910400,-0.145590,0.009067,-0.000802,0.413119,0.309259,-2.815750,83460.992188,0.958902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.315449,7197.234863
