time,phase,along_m,cross_m,elevation_m,agl_m,height_ft,ias,eas,groundspeed_kt,pitch,bank,alpha,vy,gamma,gamma_cmd,h_cmd,yoke,roll,rudder,speedbrake,speedbrake_actual,Q,mass,nz,main_wow,nose_wow,gear_cmd,gear0,gear1,gear2,chute,brakes,derotating,local_vy,radar_height_ft
0.003529,1.000000,-8483.588867,-11.120764,2965.415812,2265.502686,7433.715820,0.003685,0.000000,325.841886,-12.000009,-0.000022,7.991119,-62.312748,-20.391779,-20.544558,2255.737793,-0.025172,0.048175,-0.000003,0.000000,0.000000,-0.004435,83460.992188,1.709908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-61.138611,7436.243164
0.053780,1.000000,-8482.998047,-11.119447,2962.299447,2262.385742,7433.030762,2.264536,298.620697,325.858140,-12.004985,0.032999,7.866274,-62.286308,-20.382905,-20.544868,2255.522949,-0.015700,-0.002227,0.000550,0.025126,0.000000,-0.130363,83460.992188,1.728654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-60.778194,7435.558105
0.104048,1.000000,-8467.286133,-11.084911,2959.196261,2259.281982,7413.978516,6.275274,298.622528,326.240497,-12.016096,0.063093,7.733277,-61.609821,-20.157726,-20.539471,2249.804199,-0.084792,0.014017,0.000198,0.050260,0.003464,-0.323806,83460.992188,1.770596,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-60.410652,7416.506348
0.155157,1.000000,-8458.747070,-11.066453,2956.060603,2256.145508,7403.715820,12.325739,298.610046,326.443673,-12.040300,0.087471,7.580028,-61.221260,-20.029260,-20.538052,2246.696289,-0.121140,0.015733,0.000097,0.075814,0.009135,-0.614668,83460.992188,1.783284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-60.019451,7402.763184
0.207794,1.000000,-8449.867188,-11.047482,2952.852164,2252.936279,7393.121094,20.204462,298.591400,326.648302,-12.082193,0.111034,7.405195,-60.814846,-19.895281,-20.537857,2243.464111,-0.150953,0.015665,0.000035,0.102133,0.016996,-0.961534,83460.992188,1.775545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.615383,7392.167969
0.262777,1.000000,-8440.539063,-11.027782,2949.523181,2249.606689,7382.075684,29.785742,298.570984,326.854562,-12.146306,0.134739,7.204971,-60.395203,-19.757158,-20.539055,2240.069092,-0.174766,0.015322,-0.000023,0.129624,0.027189,-1.351369,83460.992188,1.753287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.201103,7381.123047
0.318169,1.000000,-8431.279297,-11.008434,2946.191987,2246.274658,7371.194824,40.466366,298.552521,327.049374,-12.232804,0.157825,6.986954,-59.994804,-19.625420,-20.541624,2236.698730,-0.191010,0.014939,-0.000082,0.157320,0.039284,-1.749032,83460.992188,1.714113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.800716,7370.200684
0.372377,1.000000,-8422.257813,-10.989758,2942.952787,2243.034912,7360.669434,51.607323,298.540070,327.228792,-12.338464,0.179707,6.760652,-59.627522,-19.504486,-20.545380,2233.415283,-0.183893,0.014551,-0.000140,0.184424,0.052712,-2.120517,83460.992188,1.645938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.433834,7359.675293
0.426815,1.000000,-8412.957031,-10.970663,2939.718377,2239.799561,7349.888184,63.230671,298.546021,327.399548,-12.462009,0.201039,6.533129,-59.301788,-19.396555,-20.550421,2230.030029,-0.155624,0.014109,-0.000200,0.211643,0.067615,-2.383835,83460.992188,1.534391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.119781,7348.894531
0.480999,1.000000,-8403.857422,-10.952113,2936.514522,2236.612305,7339.398926,75.027229,298.569580,327.552004,-12.596191,0.221677,6.311355,-59.035179,-19.307498,-20.556332,2226.718018,-0.138847,0.013686,-0.000260,0.238735,0.083715,-2.546645,83460.992188,1.450194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.857246,7338.405273
0.534576,1.000000,-8394.845703,-10.933856,2933.359411,2233.470215,7329.060059,86.751083,298.604156,327.689630,-12.735608,0.241508,6.097486,-58.810070,-19.231809,-20.563002,2223.437988,-0.129577,0.013294,-0.000316,0.265524,0.100748,-2.643879,83460.992188,1.384700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.635506,7328.044922
0.588388,1.000000,-8385.805664,-10.915637,2930.201528,2230.325195,7318.730469,98.454742,298.646149,327.815421,-12.879646,0.260858,5.888414,-58.614971,-19.165853,-20.570383,2220.147705,-0.124927,0.012922,-0.000366,0.292430,0.118857,-2.701056,83460.992188,1.331290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.442829,7317.715332
